From,To,Distance (m),Travel Time (1-10),Traffic Density
British English Club,"36A, Đường 81,",852.48,10,medium
"36A, Đường 81,",British English Club,852.48,10,medium
Mai Văn Vĩnh,"15 Nguyen Cao,",854.15,10,high
"15 Nguyen Cao,",Mai Văn Vĩnh,854.15,10,low
Mai Văn Vĩnh,"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",854.69,10,low
"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",Mai Văn Vĩnh,854.69,10,low
Khu dân cư Kỷ Nguyên,1627/50/3a Đường Đào Trí,855.68,10,medium
1627/50/3a Đường Đào Trí,Khu dân cư Kỷ Nguyên,855.68,10,medium
Tịnh xá Ngọc Quy,Nguyễn Văn Linh,855.94,10,low
Nguyễn Văn Linh,Tịnh xá Ngọc Quy,855.94,10,low
À La Main,Trung Tâm Mua Sắm Vivo City,858.61,10,medium
Trung Tâm Mua Sắm Vivo City,À La Main,858.61,10,low
Đầu bến Tân Quy,"15 Nguyen Cao,",859.04,10,high
"15 Nguyen Cao,",Đầu bến Tân Quy,859.04,10,low
Khu phức hợp La Casa,Saigon Riverside Complex,861.52,10,high
Saigon Riverside Complex,Khu phức hợp La Casa,861.52,10,low
Cà Phê Long Béo,"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",864.2,10,high
"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",Cà Phê Long Béo,864.2,10,low
Cà Phê Long Béo,Đại học Cảnh sát,866.73,10,low
Đại học Cảnh sát,Cà Phê Long Béo,866.73,10,medium
"E23-7.06 cc Belleza, đường số 5A,",Khu dân cư Kỷ Nguyên,867.45,10,low
Khu dân cư Kỷ Nguyên,"E23-7.06 cc Belleza, đường số 5A,",867.45,10,medium
Bệnh viện Quận 7,Circle K,869.28,10,medium
Circle K,Bệnh viện Quận 7,869.28,10,medium
Hỷ Lạc Bánh Mì Chay,Circle K,869.62,10,low
Circle K,Hỷ Lạc Bánh Mì Chay,869.62,10,low
43 Đường Số 43,Hỷ Lạc Bánh Mì Chay,871.21,10,medium
Hỷ Lạc Bánh Mì Chay,43 Đường Số 43,871.21,10,low
Thiên Sơn Plaza,An Vegetarian,873.42,10,medium
An Vegetarian,Thiên Sơn Plaza,873.42,10,medium
Cà Phê Long Béo,"15 Nguyen Cao,",873.84,10,low
"15 Nguyen Cao,",Cà Phê Long Béo,873.84,10,low
E50 Đường Số 9 Khu Dân Cư Him Lam,"1041 / 17 trần xuân soạn, phường tân hưng, quận 7, thành phố hồ chí minh,",877.5,10,low
"1041 / 17 trần xuân soạn, phường tân hưng, quận 7, thành phố hồ chí minh,",E50 Đường Số 9 Khu Dân Cư Him Lam,877.5,10,high
"487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,","35/4 Hẻm 39 Đường Bùi Văn Ba,",878.24,10,low
"35/4 Hẻm 39 Đường Bùi Văn Ba,","487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",878.24,10,high
Tịnh xá Ngọc Quy,Nhà Thuốc An Khang,879.45,10,low
Nhà Thuốc An Khang,Tịnh xá Ngọc Quy,879.45,10,low
Cầu Kênh Tẻ,Đại Lý Sơn Nuớc Trường Đạt,880.14,10,high
Đại Lý Sơn Nuớc Trường Đạt,Cầu Kênh Tẻ,880.14,10,low
Hương Sen Spa,Đại học Cảnh sát,881.83,10,low
Đại học Cảnh sát,Hương Sen Spa,881.83,10,low
Đầu bến Tân Quy,"1489 Nguyễn Văn Linh, Tòa IPC",881.94,10,high
"1489 Nguyễn Văn Linh, Tòa IPC",Đầu bến Tân Quy,881.94,10,high
"toà a1, chung cư q7 riverside complex, 04 Đào trí, phường phú thuận, quận 7, thành phố hồ chí minh,",Mầm non Ban Mai,883.98,10,medium
Mầm non Ban Mai,"toà a1, chung cư q7 riverside complex, 04 Đào trí, phường phú thuận, quận 7, thành phố hồ chí minh,",883.98,10,medium
Katinat,Đầu bến Tân Quy,884.22,10,medium
Đầu bến Tân Quy,Katinat,884.22,10,low
"6/57 Trần Văn Khánh,",Bùi Văn Ba,886.72,10,low
Bùi Văn Ba,"6/57 Trần Văn Khánh,",886.72,10,low
Hương Sen Spa,Công viên Mỹ Kim,887.13,10,high
Công viên Mỹ Kim,Hương Sen Spa,887.13,10,low
British English Club,À La Main,890.22,10,low
À La Main,British English Club,890.22,10,low
Mai Văn Vĩnh,호치민 지구촌 교회,890.31,10,low
호치민 지구촌 교회,Mai Văn Vĩnh,890.31,10,medium
Công viên Mỹ Kim,불막열삼,890.94,10,low
불막열삼,Công viên Mỹ Kim,890.94,10,high
Cầu Kênh Tẻ,E50 Đường Số 9 Khu Dân Cư Him Lam,891.76,10,low
E50 Đường Số 9 Khu Dân Cư Him Lam,Cầu Kênh Tẻ,891.76,10,low
Cầu Kênh Tẻ,"36A, Đường 81,",891.77,10,medium
"36A, Đường 81,",Cầu Kênh Tẻ,891.77,10,high
"67 Mai Văn Vĩnh,",Đầu bến Tân Quy,891.93,10,low
Đầu bến Tân Quy,"67 Mai Văn Vĩnh,",891.93,10,low
645/51E Đ. Trần Xuân Soạn,"block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,",892.96,10,medium
"block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,",645/51E Đ. Trần Xuân Soạn,892.96,10,low
"163 đường 45,","20/10 đường số 2,",893.6,10,high
"20/10 đường số 2,","163 đường 45,",893.6,10,low
Mầm non Ban Mai,Saigon Riverside Complex,893.75,10,low
Saigon Riverside Complex,Mầm non Ban Mai,893.75,10,low
Đại Lý Sơn Nuớc Trường Đạt,"20/10 đường số 2,",894.97,10,medium
"20/10 đường số 2,",Đại Lý Sơn Nuớc Trường Đạt,894.97,10,medium
"163 đường 45,",Nguyễn Thị Thập,895.04,10,medium
Nguyễn Thị Thập,"163 đường 45,",895.04,10,high
Cầu Kênh Tẻ,"block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,",897.45,10,low
"block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,",Cầu Kênh Tẻ,897.45,10,medium
Him Lam Riverside,Katinat Nguyễn Thị Thập,897.89,10,low
Katinat Nguyễn Thị Thập,Him Lam Riverside,897.89,10,high
WinMart+,불막열삼,898.96,10,low
불막열삼,WinMart+,898.96,10,low
Trường Quốc tế Nam Sài Gòn,"1489 Nguyễn Văn Linh, Tòa IPC",899.05,10,low
"1489 Nguyễn Văn Linh, Tòa IPC",Trường Quốc tế Nam Sài Gòn,899.05,10,low
Đại học Cảnh sát,"55a lê văn lương khu phố 1 phường tân phong quận 7, phường tân phong, quận 7, thành phố hồ chí minh,",899.75,10,low
"55a lê văn lương khu phố 1 phường tân phong quận 7, phường tân phong, quận 7, thành phố hồ chí minh,",Đại học Cảnh sát,899.75,10,low
"67 Mai Văn Vĩnh,","15 Nguyen Cao,",900.45,10,low
"15 Nguyen Cao,","67 Mai Văn Vĩnh,",900.45,10,medium
E50 Đường Số 9 Khu Dân Cư Him Lam,Katinat Nguyễn Thị Thập,900.84,10,high
Katinat Nguyễn Thị Thập,E50 Đường Số 9 Khu Dân Cư Him Lam,900.84,10,low
Cầu Kênh Tẻ,Bệnh viện Tân Hưng,900.9,10,low
Bệnh viện Tân Hưng,Cầu Kênh Tẻ,900.9,10,low
"67 Mai Văn Vĩnh,","Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",901.78,10,low
"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,","67 Mai Văn Vĩnh,",901.78,10,medium
541 Huỳnh Tấn Phát,Bệnh viện Quận 7,903.56,10,medium
Bệnh viện Quận 7,541 Huỳnh Tấn Phát,903.56,10,medium
Him Lam Riverside,Bệnh viện Tân Hưng,906.55,10,high
Bệnh viện Tân Hưng,Him Lam Riverside,906.55,10,low
Nhà Thuốc An Khang,Trường Quốc tế Nam Sài Gòn,907.72,10,low
Trường Quốc tế Nam Sài Gòn,Nhà Thuốc An Khang,907.72,10,medium
Tịnh xá Ngọc Quy,Quán Cơm Tâm Mộc,908.93,10,medium
Quán Cơm Tâm Mộc,Tịnh xá Ngọc Quy,908.93,10,low
Bệnh viện Quận 7,541 Huỳnh Tấn Phát,910.99,10,low
541 Huỳnh Tấn Phát,Bệnh viện Quận 7,910.99,10,low
Parkson,Bệnh viện Quận 7,911.2,10,medium
Bệnh viện Quận 7,Parkson,911.2,10,low
"1489 Nguyễn Văn Linh, Tòa IPC",An Vegetarian,911.65,10,low
An Vegetarian,"1489 Nguyễn Văn Linh, Tòa IPC",911.65,10,low
"487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,","số 14 Đường tân thuận tây, phường tân thuận tây, quận 7, thành phố hồ chí minh,",913.92,10,high
"số 14 Đường tân thuận tây, phường tân thuận tây, quận 7, thành phố hồ chí minh,","487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",913.92,10,low
Quán Rắn Hương Phù Sa,"20/10 đường số 2,",913.96,10,high
"20/10 đường số 2,",Quán Rắn Hương Phù Sa,913.96,10,low
"36A, Đường 81,","78B đường số 43, khu phố 4",914.44,10,low
"78B đường số 43, khu phố 4","36A, Đường 81,",914.44,10,low
Bia Góc,Đại học Cảnh sát,914.74,10,low
Đại học Cảnh sát,Bia Góc,914.74,10,medium
British English Club,"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",915.33,10,high
"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",British English Club,915.33,10,low
Bệnh viện Quận 7,Circle K,915.67,10,low
Circle K,Bệnh viện Quận 7,915.67,10,medium
Sunrise Cityview - Sảnh A,Bệnh viện Tân Hưng,915.87,10,high
Bệnh viện Tân Hưng,Sunrise Cityview - Sảnh A,915.87,10,medium
"block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,",Bệnh viện Tân Hưng,920.65,10,medium
Bệnh viện Tân Hưng,"block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,",920.65,10,medium
Boutique Charmés,Quán Ăn An Ký,922.01,10,low
Quán Ăn An Ký,Boutique Charmés,922.01,10,high
Tịnh xá Ngọc Quy,Katinat,924.89,10,high
Katinat,Tịnh xá Ngọc Quy,924.89,10,high
"9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,","35/4 Hẻm 39 Đường Bùi Văn Ba,",925.08,10,high
"35/4 Hẻm 39 Đường Bùi Văn Ba,","9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",925.08,10,low
Đại học Cảnh sát,불막열삼,927.2,10,medium
불막열삼,Đại học Cảnh sát,927.2,10,low
Cà Phê Long Béo,Trung Tâm Mua Sắm Vivo City,928.04,10,high
Trung Tâm Mua Sắm Vivo City,Cà Phê Long Béo,928.04,10,low
"E23-7.06 cc Belleza, đường số 5A,","B4 Era Town, đường 15B,",929.31,10,low
"B4 Era Town, đường 15B,","E23-7.06 cc Belleza, đường số 5A,",929.31,10,low
2/2 Đường Số 79,호치민 지구촌 교회,932.63,10,high
호치민 지구촌 교회,2/2 Đường Số 79,932.63,10,medium
호치민 지구촌 교회,An Vegetarian,934.21,10,medium
An Vegetarian,호치민 지구촌 교회,934.21,10,medium
Boutique Charmés,Cửa hàng Chuồn chuồn Đỏ,935.37,10,high
Cửa hàng Chuồn chuồn Đỏ,Boutique Charmés,935.37,10,low
Quận 7,Tạp Hoá Ngọc Hân,936.45,10,low
Tạp Hoá Ngọc Hân,Quận 7,936.45,10,low
Nhà Mẫu Phú Mỹ Hưng,Thiên Sơn Plaza,937.03,10,low
Thiên Sơn Plaza,Nhà Mẫu Phú Mỹ Hưng,937.03,10,medium
Hỷ Lạc Bánh Mì Chay,"78B đường số 43, khu phố 4",937.33,10,low
"78B đường số 43, khu phố 4",Hỷ Lạc Bánh Mì Chay,937.33,10,medium
"35/4 Hẻm 39 Đường Bùi Văn Ba,","số 14 Đường tân thuận tây, phường tân thuận tây, quận 7, thành phố hồ chí minh,",937.6,10,medium
"số 14 Đường tân thuận tây, phường tân thuận tây, quận 7, thành phố hồ chí minh,","35/4 Hẻm 39 Đường Bùi Văn Ba,",937.6,10,low
"Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,","số 14 Đường tân thuận tây, phường tân thuận tây, quận 7, thành phố hồ chí minh,",939.27,10,low
"số 14 Đường tân thuận tây, phường tân thuận tây, quận 7, thành phố hồ chí minh,","Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,",939.27,10,low
645/51E Đ. Trần Xuân Soạn,E50 Đường Số 9 Khu Dân Cư Him Lam,940.09,10,low
E50 Đường Số 9 Khu Dân Cư Him Lam,645/51E Đ. Trần Xuân Soạn,940.09,10,low
Quán Cơm Tâm Mộc,Đầu bến Tân Quy,941.32,10,low
Đầu bến Tân Quy,Quán Cơm Tâm Mộc,941.32,10,low
British English Club,Đại Lý Sơn Nuớc Trường Đạt,943.18,10,low
Đại Lý Sơn Nuớc Trường Đạt,British English Club,943.18,10,medium
Bia Góc,Trung Tâm Mua Sắm Vivo City,947.09,10,medium
Trung Tâm Mua Sắm Vivo City,Bia Góc,947.09,10,medium
Tịnh xá Ngọc Quy,Hà Huy Tập,948.11,10,low
Hà Huy Tập,Tịnh xá Ngọc Quy,948.11,10,medium
Parkson,Bệnh viện Quận 7,948.75,10,medium
Bệnh viện Quận 7,Parkson,948.75,10,low
Tịnh xá Ngọc Quy,Siêu Thị K-Market,950.59,10,medium
Siêu Thị K-Market,Tịnh xá Ngọc Quy,950.59,10,medium
Nguyễn Thị Thập,McDonald's,952.12,10,high
McDonald's,Nguyễn Thị Thập,952.12,10,medium
Mỹ Khang,"E23-7.06 cc Belleza, đường số 5A,",956.2,10,low
"E23-7.06 cc Belleza, đường số 5A,",Mỹ Khang,956.2,10,low
Quận 7,Trường Tiểu học Lê Anh Xuân,956.73,10,low
Trường Tiểu học Lê Anh Xuân,Quận 7,956.73,10,low
WinMart+,Nhà Thuốc An Khang,957.32,10,medium
Nhà Thuốc An Khang,WinMart+,957.32,10,high
Hương Sen Spa,Trường Quốc tế Nam Sài Gòn,957.35,10,low
Trường Quốc tế Nam Sài Gòn,Hương Sen Spa,957.35,10,low
"67 Mai Văn Vĩnh,",호치민 지구촌 교회,958.55,10,low
호치민 지구촌 교회,"67 Mai Văn Vĩnh,",958.55,10,low
"1489 Nguyễn Văn Linh, Tòa IPC","Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",963.71,10,medium
"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,","1489 Nguyễn Văn Linh, Tòa IPC",963.71,10,low
"163 đường 45,",Đầu bến Tân Quy,964.22,10,low
Đầu bến Tân Quy,"163 đường 45,",964.22,10,high
Bệnh viện Quận 7,803/23/10 Huỳnh Tấn Phát,965.65,10,low
803/23/10 Huỳnh Tấn Phát,Bệnh viện Quận 7,965.65,10,high
"15-27-Block M2-Sảnh B, Jamona City, Đào Trí,","26 đường số 10 kdc nam long, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",966.51,10,low
"26 đường số 10 kdc nam long, phường tân thuận Đông, quận 7, thành phố hồ chí minh,","15-27-Block M2-Sảnh B, Jamona City, Đào Trí,",966.51,10,high
"803/23/10 Huỳnh Tấn Phát,",Bệnh viện Quận 7,967.17,10,low
Bệnh viện Quận 7,"803/23/10 Huỳnh Tấn Phát,",967.17,10,high
WinMart+,Hương Sen Spa,967.56,10,medium
Hương Sen Spa,WinMart+,967.56,10,low
Đại Lý Sơn Nuớc Trường Đạt,E50 Đường Số 9 Khu Dân Cư Him Lam,967.78,10,low
E50 Đường Số 9 Khu Dân Cư Him Lam,Đại Lý Sơn Nuớc Trường Đạt,967.78,10,high
Tịnh xá Ngọc Quy,Chè Thiên Đường,967.79,10,low
Chè Thiên Đường,Tịnh xá Ngọc Quy,967.79,10,low
Đại Lý Sơn Nuớc Trường Đạt,Him Lam Riverside,968.42,10,high
Him Lam Riverside,Đại Lý Sơn Nuớc Trường Đạt,968.42,10,low
Sunrise Cityview - Sảnh A,"1041/62/10 Trần Xuân Soạn,",969.45,10,high
"1041/62/10 Trần Xuân Soạn,",Sunrise Cityview - Sảnh A,969.45,10,medium
Bia Góc,Katinat,971.68,10,low
Katinat,Bia Góc,971.68,10,medium
WinMart+,"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",972.79,10,high
"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",WinMart+,972.79,10,high
"toà a1, chung cư q7 riverside complex, 04 Đào trí, phường phú thuận, quận 7, thành phố hồ chí minh,",Trường Tiểu học Lê Anh Xuân,973.24,10,low
Trường Tiểu học Lê Anh Xuân,"toà a1, chung cư q7 riverside complex, 04 Đào trí, phường phú thuận, quận 7, thành phố hồ chí minh,",973.24,10,low
"1489 Nguyễn Văn Linh, Tòa IPC","15 Nguyen Cao,",976.43,10,high
"15 Nguyen Cao,","1489 Nguyễn Văn Linh, Tòa IPC",976.43,10,medium
"block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,",Katinat Nguyễn Thị Thập,976.57,10,low
Katinat Nguyễn Thị Thập,"block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,",976.57,10,medium
"9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,","số 14 Đường tân thuận tây, phường tân thuận tây, quận 7, thành phố hồ chí minh,",976.75,10,low
"số 14 Đường tân thuận tây, phường tân thuận tây, quận 7, thành phố hồ chí minh,","9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",976.75,10,medium
"36A, Đường 81,",Phan Huy Thục,977.21,10,medium
Phan Huy Thục,"36A, Đường 81,",977.21,10,low
British English Club,Hỷ Lạc Bánh Mì Chay,978.01,10,low
Hỷ Lạc Bánh Mì Chay,British English Club,978.01,10,high
WinMart+,"15 Nguyen Cao,",978.71,10,low
"15 Nguyen Cao,",WinMart+,978.71,10,low
"67 Mai Văn Vĩnh,",Thiên Sơn Plaza,980.13,10,medium
Thiên Sơn Plaza,"67 Mai Văn Vĩnh,",980.13,10,low
WinMart+,"20/10 đường số 2,",982.15,10,low
"20/10 đường số 2,",WinMart+,982.15,10,medium
"163 đường 45,",Đại Lý Sơn Nuớc Trường Đạt,982.54,10,low
Đại Lý Sơn Nuớc Trường Đạt,"163 đường 45,",982.54,10,medium
Trường Quốc tế Nam Sài Gòn,"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",982.93,10,low
"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",Trường Quốc tế Nam Sài Gòn,982.93,10,low
"803/23/10 Huỳnh Tấn Phát,",Nhà Thuốc Thái Thanh,983.18,10,medium
Nhà Thuốc Thái Thanh,"803/23/10 Huỳnh Tấn Phát,",983.18,10,low
Chè Thiên Đường,Cửa hàng Chuồn chuồn Đỏ,983.38,10,medium
Cửa hàng Chuồn chuồn Đỏ,Chè Thiên Đường,983.38,10,medium
Mai Văn Vĩnh,Thiên Sơn Plaza,983.58,10,medium
Thiên Sơn Plaza,Mai Văn Vĩnh,983.58,10,low
Công viên Mỹ Kim,"1489 Nguyễn Văn Linh, Tòa IPC",984.19,10,low
"1489 Nguyễn Văn Linh, Tòa IPC",Công viên Mỹ Kim,984.19,10,low
2/2 Đường Số 79,"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",985.31,10,high
"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",2/2 Đường Số 79,985.31,10,low
호치민 지구촌 교회,"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",985.42,10,medium
"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",호치민 지구촌 교회,985.42,10,high
2/2 Đường Số 79,"15 Nguyen Cao,",985.82,10,low
"15 Nguyen Cao,",2/2 Đường Số 79,985.82,10,medium
Trường Quốc tế Nam Sài Gòn,"15 Nguyen Cao,",985.86,10,medium
"15 Nguyen Cao,",Trường Quốc tế Nam Sài Gòn,985.86,10,low
803/23/10 Huỳnh Tấn Phát,Nhà Thuốc Thái Thanh,986.93,10,medium
Nhà Thuốc Thái Thanh,803/23/10 Huỳnh Tấn Phát,986.93,10,medium
Boutique Charmés,Si Cafe,987.64,10,high
Si Cafe,Boutique Charmés,987.64,10,medium
Cà Phê Long Béo,Katinat,989.11,10,high
Katinat,Cà Phê Long Béo,989.11,10,high
Trường Tiểu học Lê Anh Xuân,Mầm non Ban Mai,989.61,10,medium
Mầm non Ban Mai,Trường Tiểu học Lê Anh Xuân,989.61,10,low
Đầu bến Tân Quy,Quán Ăn An Ký,990.51,10,low
Quán Ăn An Ký,Đầu bến Tân Quy,990.51,10,medium
Cửa hàng Chuồn chuồn Đỏ,Nguyễn Văn Linh,991.11,10,medium
Nguyễn Văn Linh,Cửa hàng Chuồn chuồn Đỏ,991.11,10,high
Trường Quốc tế Nam Sài Gòn,불막열삼,991.45,10,high
불막열삼,Trường Quốc tế Nam Sài Gòn,991.45,10,low
Bia Góc,"78B đường số 43, khu phố 4",992.18,10,low
"78B đường số 43, khu phố 4",Bia Góc,992.18,10,high
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",Đầu bến Tân Quy,992.93,10,medium
Đầu bến Tân Quy,"Chung cư mỹ cảnh, đường Phạm Thái Bường,",992.93,10,high
"36A, Đường 81,",Đại học Cảnh sát,994.61,10,low
Đại học Cảnh sát,"36A, Đường 81,",994.61,10,medium
E50 Đường Số 9 Khu Dân Cư Him Lam,Bệnh viện Tân Hưng,994.8,10,low
Bệnh viện Tân Hưng,E50 Đường Số 9 Khu Dân Cư Him Lam,994.8,10,low
Siêu Thị K-Market,Đầu bến Tân Quy,995.05,10,medium
Đầu bến Tân Quy,Siêu Thị K-Market,995.05,10,low
Đầu bến Tân Quy,Si Cafe,996.04,10,low
Si Cafe,Đầu bến Tân Quy,996.04,10,medium
"số 14 Đường tân thuận tây, phường tân thuận tây, quận 7, thành phố hồ chí minh,",Tạp Hoá Ngọc Hân,997.17,10,low
Tạp Hoá Ngọc Hân,"số 14 Đường tân thuận tây, phường tân thuận tây, quận 7, thành phố hồ chí minh,",997.17,10,low
"toà a1, chung cư q7 riverside complex, 04 Đào trí, phường phú thuận, quận 7, thành phố hồ chí minh,",Nhà Thuốc Thái Thanh,998.84,10,low
Nhà Thuốc Thái Thanh,"toà a1, chung cư q7 riverside complex, 04 Đào trí, phường phú thuận, quận 7, thành phố hồ chí minh,",998.84,10,high
Mỹ Khang,Mầm non Ban Mai,1000.3,10,low
Mầm non Ban Mai,Mỹ Khang,1000.3,10,low
Đại Lý Sơn Nuớc Trường Đạt,2/2 Đường Số 79,1003.26,10,low
2/2 Đường Số 79,Đại Lý Sơn Nuớc Trường Đạt,1003.26,10,high
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",Boutique Charmés,1005.64,10,high
Boutique Charmés,"Chung cư mỹ cảnh, đường Phạm Thái Bường,",1005.64,10,high
Cửa hàng Chuồn chuồn Đỏ,"15 Nguyen Cao,",1006.39,10,high
"15 Nguyen Cao,",Cửa hàng Chuồn chuồn Đỏ,1006.39,10,medium
Cửa hàng Chuồn chuồn Đỏ,"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",1008.29,10,high
"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",Cửa hàng Chuồn chuồn Đỏ,1008.29,10,medium
Bệnh viện Quận 7,"170A Lâm Văn Bền, KP4,",1009.15,10,medium
"170A Lâm Văn Bền, KP4,",Bệnh viện Quận 7,1009.15,10,medium
"163 đường 45,",Katinat Nguyễn Thị Thập,1010.66,10,high
Katinat Nguyễn Thị Thập,"163 đường 45,",1010.66,10,low
À La Main,호치민 지구촌 교회,1010.95,10,low
호치민 지구촌 교회,À La Main,1010.95,10,medium
Quận 7,McDonald's,1011.17,10,medium
McDonald's,Quận 7,1011.17,10,medium
Trung Tâm Mua Sắm Vivo City,"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",1011.91,10,medium
"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",Trung Tâm Mua Sắm Vivo City,1011.91,10,low
Chè Thiên Đường,WinMart+,1012.09,10,low
WinMart+,Chè Thiên Đường,1012.09,10,low
Đầu bến Tân Quy,Hà Huy Tập,1013.26,10,low
Hà Huy Tập,Đầu bến Tân Quy,1013.26,10,low
"163 đường 45,",Hỷ Lạc Bánh Mì Chay,1015.08,10,high
Hỷ Lạc Bánh Mì Chay,"163 đường 45,",1015.08,10,low
43 Đường Số 43,"36A, Đường 81,",1016.02,10,low
"36A, Đường 81,",43 Đường Số 43,1016.02,10,medium
"803/23/10 Huỳnh Tấn Phát,",Nhà Mẫu Phú Mỹ Hưng,1016.18,10,high
Nhà Mẫu Phú Mỹ Hưng,"803/23/10 Huỳnh Tấn Phát,",1016.18,10,medium
Cầu Kênh Tẻ,"1041/62/10 Trần Xuân Soạn,",1016.23,10,low
"1041/62/10 Trần Xuân Soạn,",Cầu Kênh Tẻ,1016.23,10,low
"803/23/10 Huỳnh Tấn Phát,",McDonald's,1016.36,10,high
McDonald's,"803/23/10 Huỳnh Tấn Phát,",1016.36,10,medium
McDonald's,803/23/10 Huỳnh Tấn Phát,1017.5,10,medium
803/23/10 Huỳnh Tấn Phát,McDonald's,1017.5,10,low
Mai Văn Vĩnh,불막열삼,1018.29,10,low
불막열삼,Mai Văn Vĩnh,1018.29,10,low
Nhà Mẫu Phú Mỹ Hưng,803/23/10 Huỳnh Tấn Phát,1018.89,10,high
803/23/10 Huỳnh Tấn Phát,Nhà Mẫu Phú Mỹ Hưng,1018.89,10,medium
British English Club,Katinat Nguyễn Thị Thập,1019.54,10,medium
Katinat Nguyễn Thị Thập,British English Club,1019.54,10,high
Tịnh xá Ngọc Quy,Cà Phê Long Béo,1019.72,10,medium
Cà Phê Long Béo,Tịnh xá Ngọc Quy,1019.72,10,medium
Parkson,Nguyễn Thị Thập,1021.53,10,high
Nguyễn Thị Thập,Parkson,1021.53,10,low
Quán Rắn Hương Phù Sa,불막열삼,1022.84,10,high
불막열삼,Quán Rắn Hương Phù Sa,1022.84,10,low
Bệnh viện Quận 7,803/23/10 Huỳnh Tấn Phát,1024.03,10,high
803/23/10 Huỳnh Tấn Phát,Bệnh viện Quận 7,1024.03,10,low
Trung Tâm Mua Sắm Vivo City,An Vegetarian,1024.69,10,medium
An Vegetarian,Trung Tâm Mua Sắm Vivo City,1024.69,10,low
"35/4 Hẻm 39 Đường Bùi Văn Ba,","Căn hộ 112, chung cư An Hoà 7, đường số 7,",1024.86,10,high
"Căn hộ 112, chung cư An Hoà 7, đường số 7,","35/4 Hẻm 39 Đường Bùi Văn Ba,",1024.86,10,low
British English Club,Tịnh xá Ngọc Quy,1024.99,10,low
Tịnh xá Ngọc Quy,British English Club,1024.99,10,medium
Trung Tâm Mua Sắm Vivo City,"15 Nguyen Cao,",1025.4,10,medium
"15 Nguyen Cao,",Trung Tâm Mua Sắm Vivo City,1025.4,10,medium
"803/23/10 Huỳnh Tấn Phát,",Bệnh viện Quận 7,1025.65,10,medium
